idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun
1260,1448,IC_1805,NGC_2244,2269.562857942514,41.73181816824159,0.1082392718240307,0.0025936869414043,148649.99162071382,False,1703.58727399,1387.56824106
752,924,FSR_1253,HSC_896,5610.697378956286,154.79114317108343,0.0553453060262842,0.0003575482737091,7822230.853202494,False,1639.33701293,358.62555282
518,1546,CWNU_2569,NGC_4349,2254.8028855249977,41.73240593362615,0.1319386454421443,0.0031615393958351,100046.70829228242,False,457.16890047,4105.94741852
143,2235,Berkeley_58,Theia_5677,5936.174158827864,131.09429117488187,0.045987710405915,0.0003507987265789,8126134.076150561,False,1197.03792956,262.44535468
673,895,FSR_0325,HSC_710,3683.693405454973,73.80356006341984,0.0581235496927753,0.0007875439835534,1612316.7429092869,False,558.78941493,887.971112
1434,1636,NGC_2141,NGC_6800,5769.944393666884,15.332692333064022,0.1280869221208274,0.0083538441480767,14329.37547306196,False,10419.75000152,585.25192754
1719,2812,OC_0330,UBC_1618,1559.5469848335783,56.891259325541256,0.0426409371946549,0.0007495164933976,1780072.1757006634,False,217.06991621,112.58599044
214,325,CWNU_3,CWNU_428,1274.973590874067,29.682640079553902,0.0501067426184485,0.0016880824105994,350923.708846604,False,144.84861648,227.28803545
1095,2158,HSC_2130,Theia_2901,2783.181207622252,216.22293223110503,0.0394606994845127,0.0001825000663774,30024372.980321117,False,336.40235643,167.42292662
464,1020,CWNU_2065,HSC_1564,1456.1157738793438,63.68932056210268,0.0442344843994867,0.0006945353476703,2073057.2354186235,False,255.16850087,76.05928462
2247,2949,Theia_7593,UPK_626,906.0065706995048,24.246699874163703,0.0552802825504859,0.0022799095479954,192382.14615756305,False,168.17645636,153.69374463
608,1332,Czernik_23,LP_2068,5600.029263837808,69.22996694687889,0.0571025691336557,0.0008248244460014,1469863.3187612786,False,1147.28637095,975.52061692
2203,2741,Theia_3796,UBC_1431,2448.583706581772,90.67985475541582,0.0402207966501394,0.0004435472107738,5083002.167567309,False,113.58681943,346.90848652
1607,1747,NGC_6469,OC_0477,4277.200115607401,95.88360541058172,0.0503440233808093,0.000525053508003,3627378.471281939,False,901.85411035,358.41800237
537,1867,CWNU_2664,Ruprecht_71,1283.1265174946436,22.14353579234701,0.0821313854130757,0.0037090456638573,72690.16248781265,False,297.50727368,708.72141004
1270,2619,IC_4665,UBC_1090,2278.267114201501,32.17192575364425,0.0510053978017351,0.0015854008302862,397852.2673144432,False,278.86560918,410.17661333
675,1965,FSR_0342,Teutsch_12,5224.996046972681,79.18417116512585,0.0736177688433439,0.0009297030929303,1156941.6299323712,False,2662.02963268,629.97307524
1389,2032,NGC_654,Theia_387,2689.0332272500555,35.994466358240686,0.113291062170003,0.0031474577520459,100943.92359196086,False,3819.42738955,192.90017463
2054,2395,Theia_773,UBC_246,1158.6356991159353,36.87049807154995,0.1477895631233738,0.0040083419224925,62240.12814096428,False,160.3559571,2781.64867224
2826,2908,UFMG_59,UPK_296,1659.3908091662572,45.84497251321479,0.0369654921593042,0.0008063150686511,1538120.8093634509,False,140.12905939,123.47408197
53,1574,Alessi_31,NGC_6025,650.5261336667099,11.53056411346063,0.1645621951501547,0.0142718251709859,4909.541845865847,False,787.22763689,1260.79054362
1542,2653,NGC_3960,UBC_1173,6357.934965556778,152.22058304516383,0.0677680077131466,0.0004451960855585,5045420.01638225,False,3010.97703446,383.51218026
358,2723,CWNU_1155,UBC_1371,3485.334261107713,63.08594903517052,0.0434787918748214,0.000689199299365,2105282.330389188,False,188.12608412,577.83779002
780,2250,Gulliver_11,Theia_8068,6327.426524076704,182.85569579031176,0.0345433668904352,0.0001889105326532,28021259.681362167,False,222.9269313,654.81199069
2053,2962,Theia_771,ZHBJZ_1,894.1890783080114,45.49281696214468,0.06462543979451,0.0014205635990465,495539.9081861752,False,159.1655821,274.98991057
283,2083,CWNU_265,Theia_1740,2248.314046759659,74.90208220075723,0.0452023854017981,0.0006034863661152,2745775.8058602395,False,79.20883298,454.84937852
1644,2579,NGC_6866,UBC_643,5516.479706626832,113.75561584739292,0.0507294021933309,0.0004459507499074,5028358.146253218,False,1136.13963903,514.26497635
796,1392,Gulliver_32,NGC_743,1799.9938614037976,59.90006069292543,0.0665001872417494,0.0011101856404229,811351.0239785808,False,288.20637154,637.18549018
947,1428,HSC_1084,NGC_1960,5525.04166442589,56.24843894739455,0.0566835415285924,0.0010077353716714,984706.930904769,False,733.09945165,1330.65691619
183,1737,COIN-Gaia_3,OC_0416,9635.795523687806,163.54587581722458,0.0267493069681083,0.0001635584317516,37381276.22975773,False,527.52322566,274.01005641
1107,2205,HSC_2281,Theia_3916,3594.264704970787,114.30973685283566,0.0513389563827935,0.0004491214641574,4957610.212494439,False,862.65274673,238.66603568
748,2669,FSR_1185,UBC_1241,3866.0266046683646,104.83834691135942,0.0396208503948252,0.0003779232653136,7001526.604057923,False,67.72881121,637.81069909
1288,1828,King_8,Roslund_1,6160.14030538276,33.946364917833584,0.0513795350359966,0.0015135504246289,436522.0755473549,False,1769.50600549,121.00782535
1145,1365,HSC_2698,Melotte_25,2971.6685199080025,26.13544302785669,0.0630743998169402,0.0024133663909852,171693.35189837983,False,965.40855544,408.99899571
2582,2917,UBC_651,UPK_394,3683.092298361804,109.312981239651,0.0455554631178388,0.0004167433968154,5757879.150702735,False,717.22184516,171.37025936
308,1138,CWNU_360,HSC_2636,2431.853741372431,37.50957315776322,0.0539285320644717,0.0014377271593481,483779.0376941469,False,657.64295143,164.5685832
683,1234,FSR_0443,Haffner_13,3408.0112080561025,106.60977725913165,0.0621313270115803,0.0005827920159758,2944237.3180177454,False,807.04539017,722.39018858
485,2949,CWNU_2314,UPK_626,1506.3119109484228,85.14987349318079,0.0502730154485831,0.0005904062259424,2868785.9344325173,False,288.88820443,153.69374463
528,1712,CWNU_2606,OC_0282,3457.6209174709784,67.82278943605478,0.0339913590006957,0.0005011790178984,3981202.2284517055,False,340.88452217,123.54877561
138,2479,Berkeley_44,UBC_424,3769.936704935714,9.75809190238876,0.1084800437177514,0.0111169319578959,8091.519869777097,False,4779.13130913,378.40955136
719,769,FSR_0904,Ferrero_1,2979.0032737777924,39.53987184789013,0.0560803972492875,0.0014183252152416,497105.2526684987,False,581.96628294,507.21973771
822,1459,HSC_71,NGC_2301,2589.207725706307,35.24148313812401,0.0775946933717967,0.0022017998807733,206273.9154053276,False,314.36166685,1497.9790696
486,2748,CWNU_2320,UBC_1453,3436.370215124897,130.78064639956534,0.0390768941718213,0.0002987972245712,11200744.269200644,False,132.403614,477.62321978
689,1720,FSR_0505,OC_0343,6864.085915835182,73.88021076478007,0.0383849510046627,0.0005195565985439,3704539.844544461,False,1024.04696885,151.69929552
588,2818,Collinder_292,UFMG_24,908.3080629132784,23.4666477741778,0.0959524751168468,0.0040888871746918,59812.19570813431,False,767.09742845,205.09995705
562,1454,Casado-Alessi_1,NGC_2266,3785.808433139852,41.4226526111326,0.0775567515979889,0.0018723270169604,285257.1848383337,False,230.77432984,2416.54768547
1018,1609,HSC_1553,NGC_6494,946.703880813913,17.036302526324146,0.198488254402902,0.0116508998414533,7366.837029059749,False,232.07446333,4103.95972366
1095,2539,HSC_2130,UBC_541,2649.738305595156,222.1145683375156,0.0578366978666498,0.0002603912850001,14748474.797774544,False,336.40235643,694.02855484
2317,2911,UBC_104,UPK_312,3428.0675221886218,13.572842780589914,0.0575194681113172,0.0042378349945653,55681.626673914034,False,1215.56297,102.9609288
1173,2389,HSC_2916,UBC_233,3030.901967138036,65.40312827507921,0.0419444617053813,0.0006413219491423,2431351.741224545,False,130.40090407,489.51111347
1579,1756,NGC_6134,OC_0571,1391.7622039026287,55.266634602449,0.1583274104747485,0.0028647919601699,121846.71403654788,False,3668.5048251,387.38520477
163,2438,Berkeley_84,UBC_314,3475.905169300686,145.48022122950402,0.0636906829037389,0.000437796164767,5217423.555699853,False,597.24211861,1041.94542794
986,2073,HSC_1350,Theia_1086,453.2054913926244,19.05880333875247,0.0876922550713328,0.0046011417145496,47235.52869170686,False,197.26278748,207.89720637
824,1638,HSC_87,NGC_6811,1385.1821671942423,33.06169656696581,0.0876087773708915,0.0026498572810213,142414.76983109288,False,100.10157967,1135.87729104
135,2062,Berkeley_35,Theia_900,5536.445082100677,71.30263522012484,0.049164114978019,0.0006895132953535,2103365.326921361,False,1418.60498571,137.13266841
27,716,ASCC_99,FSR_0893,2596.163433711957,31.586484546042648,0.0811042245451438,0.0025676875952092,151675.56942098463,False,243.03407167,1742.27394734
52,349,Alessi_24,CWNU_1064,1369.607078454377,44.433538243485,0.0569448490752556,0.0012815735889231,608853.6339794338,False,374.70993066,141.6039489
1133,1683,HSC_2559,OC_0037,2184.701893982372,169.9985545221707,0.0713803263967256,0.0004198878431487,5671963.119338728,False,191.40668877,1102.66447482
737,2912,FSR_1125,UPK_325,6127.959479682699,75.70372078632894,0.0381321851550162,0.0005037029192084,3941405.0106667806,False,947.43034349,88.44664779
1803,2859,Pismis_1,UPK_42,6111.4656102796325,158.34030262615917,0.0460531121880177,0.0002908489590091,11821292.747866808,False,1151.29921319,355.55853855
1397,1990,NGC_957,Teutsch_157,4770.815747380691,118.7484705777834,0.1103665980866915,0.0009294149015114,1157659.226223499,False,2245.1493096,4510.65205653
1917,2460,SAI_25,UBC_364,2471.656066521374,53.97998820805704,0.081614279282807,0.0015119358486748,437454.8854538219,False,1633.68364595,280.26047155
2050,2699,Theia_746,UBC_1318,5106.732040701724,33.81360834102203,0.0289864820369735,0.0008572430881861,1360792.8405693606,False,189.19943448,309.61958695
716,1779,FSR_0893,PHOC_1,2284.4344780396964,26.423671222807545,0.0843137562638519,0.0031908418611822,98217.62720616772,False,1742.27394734,145.65001044
1357,2341,Majaess_88,UBC_141,2660.1237841759366,41.61454118217626,0.0318427363150021,0.0007651829242957,1707927.614204625,False,124.74450129,188.82334481
860,963,HSC_413,HSC_1202,3647.1019411934217,152.21624509327668,0.0481763119540853,0.0003164991484618,9982858.336409176,False,919.2557112,64.80959056
1902,2352,Ruprecht_144,UBC_159,1709.1782194465209,60.90671049064191,0.0565463153626044,0.0009284086253729,1160170.095120685,False,500.14267541,135.19540609
74,1761,Alessi-Teutsch_5,OC_0631,6720.951424035402,201.5666465047053,0.0916748817214292,0.0004548117623184,4834333.6897940375,False,236.41008528,6330.18728912
1510,2122,NGC_2571,Theia_2179,2469.41686503011,33.70495769824574,0.0729330344362631,0.0021638666658246,213569.3897018643,False,751.92537548,775.1198224
331,1419,CWNU_448,NGC_1817,2771.62711062428,70.38213864006192,0.095150807114964,0.0013519169629324,547141.888860763,False,204.36907818,2712.8474758
1721,1803,OC_0351,Pismis_1,4480.591932963898,117.12958026759168,0.0507189395775164,0.0004330156350056,5333261.080890775,False,188.63858356,1151.29921319
705,2369,FSR_0761,UBC_183,2498.64360794423,5.594041846500485,0.0585548612872005,0.0104673620423185,9126.946580195186,False,759.35645018,236.59723713
851,1400,HSC_339,NGC_1193,7584.539170118069,25.22471900926809,0.0600388422856423,0.0023801590124188,176517.61696012542,False,994.73733551,2183.62007519
1261,1685,IC_1848,OC_0041,3539.37383764246,26.76217966254525,0.0720101446883219,0.0026907428915105,138119.69058280552,False,1541.37618586,592.2715488
1935,2713,Sigma_Orionis,UBC_1353,3497.000191685945,66.81536261279237,0.0403687782109858,0.0006041840773196,2739437.8288816195,False,81.29190306,581.22319892
27,1922,ASCC_99,SAI_86,4179.24398005166,71.55631609775459,0.0494408930368909,0.0006909368135909,2094707.24290688,False,243.03407167,944.59071881
670,768,FSR_0288,Feinstein_1,5637.119300915391,142.67747409932554,0.0518826748410945,0.0003636360621647,7562512.539349727,False,355.16709009,1408.88277854
2095,2676,Theia_1844,UBC_1258,4841.420778019532,97.62720993217656,0.0410475395911756,0.0004204518352997,5656756.634848081,False,333.75446438,614.5679293
1033,2887,HSC_1702,UPK_164,4427.004856113632,92.11964232973494,0.0510629180692331,0.0005543108589855,3254567.077789937,False,1047.60143631,294.32952495
1658,1677,NGC_7063,NGC_2451B,1029.4338869766864,20.47402478526168,0.0852459174438552,0.0041636130823295,57684.51839866069,False,375.53404389,494.13608654
79,1435,Alessi-Teutsch_21,NGC_2158,3880.404081179264,70.73689631875246,0.2180929235993896,0.003083156527205,105198.33167909794,False,533.96245338,20923.0383257
456,1129,CWNU_1944,HSC_2528,2783.675506080707,107.11640984361848,0.0845512333275244,0.0007893396861504,1604989.2306635068,False,2188.36188255,125.12700317
1473,2396,NGC_2358,UBC_247,674.2798749355378,22.61847757117829,0.0934625297413229,0.0041321317691345,58566.82427719128,False,376.92203368,307.81556717
58,579,Alessi_40,Collinder_213,2598.325278424453,98.3074541332426,0.0595765899462066,0.0006060231187093,2722836.8269861764,False,697.31236251,374.83311198
600,956,Czernik_9,HSC_1172,1603.647708704811,28.31909874197136,0.0909451453404289,0.003211442079039,96961.60882462285,False,725.40434835,816.56920922
567,1866,Collinder_89,Ruprecht_68,2900.996515307732,103.65382364972652,0.0953560072247024,0.0009199468371464,1181611.0366718853,False,137.1249425,2929.44050817
313,2872,CWNU_383,UPK_66,2405.6539260644627,82.67442283094246,0.0333092597736163,0.0004028967924182,6160449.194697408,False,119.64485222,190.6481841
2089,2126,Theia_1796,Theia_2267,2342.363266450121,65.90863555176978,0.0696557961232219,0.0010568538635352,895303.1679723499,False,669.93459813,651.29314636
52,322,Alessi_24,CWNU_423,1460.5999013142489,15.98357145435993,0.0543474192762231,0.0034002049811838,86494.76070382979,False,374.70993066,126.82136099
37,512,ASCC_115,CWNU_2500,4625.24316347263,81.90698870450166,0.0332446036477243,0.0004058823816324,6070152.470951158,False,215.46926341,378.80347027
1242,1429,Haffner_23,NGC_1980,1898.0108969513824,8.313949641693569,0.0745291680070236,0.0089643516281681,12444.06391505602,False,979.68865107,245.94355153
668,2958,FSR_0276,Waterloo_7,8217.222960584742,214.44490778248505,0.0422643958097437,0.0001970874302718,25744362.739954326,False,1189.3054728,517.10424749
956,2902,HSC_1172,UPK_237,3906.9131185337937,79.87469844495116,0.0522973585639247,0.0006547424851934,2332700.352432593,False,816.56920922,425.66125965
2498,2801,UBC_457,UBC_1590,4460.675604532217,54.26523056180589,0.0620887915613875,0.0011441726298512,763865.491481539,False,446.37618639,1552.73049663
2116,2286,Theia_2122,UBC_6,2038.792693795512,74.21552449705334,0.0716138070254075,0.0009649437568584,1073979.517611741,False,150.15517964,1065.4023208
409,991,CWNU_1564,HSC_1370,3027.5446411229423,36.8358623843484,0.0387558521373958,0.0010521228397753,903372.9933235806,False,456.76711665,71.88996194
360,890,CWNU_1228,HSC_643,2447.679296181205,37.5374085533666,0.0458197931565839,0.0012206434839912,671154.2207887963,False,168.49216366,428.9139718
702,2060,FSR_0716,Theia_872,3392.764803558101,46.74838038108863,0.0505743583203774,0.0010818419356585,854421.9087692057,False,854.84139629,154.00124868
